"CSO","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","ime","tasa_caida"
"Propietarx o Directivx PyME",62456.3607229797,63004.5166958701,55382.5533494008,52191.4830435864,40385.8212884898,46429.6006551945,45278.4626117875,38458.6746263363,44757.4662659998,39541.6237863059,36036.4867852827,48788.6563045951,-73.314233141303
"Propietarx gran empresa",119623.452332546,101805.21893002,83849.9367324354,68306.7940614772,52697.038981624,73205.4613203911,60640.2078666244,63271.1631112597,63650.6997148663,68821.041563419,58765.8005646445,75587.1014614663,-103.559640442498
"Directivx gran empresa",98319.106692818,105642.20276555,143549.951889616,106347.889814352,82162.9790489719,111516.20831308,77629.0981306862,76443.5193988027,82196.4489400174,70755.623435962,67687.9014249729,95456.3028429856,-45.2535898188505
"Asalariadx jefx",66836.0151577312,75198.6772085503,76391.5809375088,69761.2934103512,54078.8351770512,78529.4601114928,64980.8683930168,60588.5743577718,68028.276503162,53453.0324085875,56047.5918878547,66784.6613665224,-19.248682961193
"Asalariadx profesional",74709.4242058242,75250.616885643,79653.0633648739,76451.2246876557,59186.7243689917,75388.7191816537,67391.7058072725,62658.6499144483,63269.5805937154,55048.9355132416,52053.0253119434,68900.864452332,-43.5256140408853
"Asalariadx técnicx",52318.6949920528,52814.687486971,56461.0941259246,54459.5283864903,42163.3179586685,49370.9527689284,43812.2200036851,44578.525586601,46833.9437968577,37621.9825704442,36192.2540987879,48043.4947676624,-44.5577135075568
"Asalariadx operativx",41400.9583803196,43693.9770356625,47899.6137493198,48964.1947426395,37915.0113188003,44724.4028873969,39515.9209098166,41335.5079918172,41975.1819246303,34998.5975970656,32150.1566574231,42242.3366537468,-28.7737376258184
"Asalariadx poco calificadx",28331.1682826615,28601.7956759429,29334.2539986317,31184.1574819716,24146.4948842444,29159.5923675575,26545.6169403313,25808.832294348,26317.3990693355,21160.9632019942,19763.2442303348,27059.0274197019,-43.3528217962095
"Autónomx profesional",61774.6613346094,58776.8238915032,66705.6408934485,59249.4397180437,45864.1030508259,53490.5970480083,53888.0629432465,48664.6807255338,48224.2845621629,41038.7228496798,52510.1748350574,53767.7017017062,-17.6432215825851
"Autónomx con medio de producción",33711.7855028549,32944.3679215348,32985.8325878792,34336.3212313679,26608.0520489168,30865.963659325,27241.1781247669,23960.7504312886,25688.7420006051,21079.9571934942,19201.6309066422,28942.2950702033,-75.5673029377592
"Autónomx sin medio de producción",14806.4880961998,16143.2212358375,17501.2390245611,16580.2236355131,12832.6126250186,15731.1111676003,15778.9131011399,10412.9714027327,10035.7162318779,8384.56598262977,7201.79990958213,13820.7062503111,-105.594272016631
"Empleadx domésticx",12251.8615195179,13153.9542807474,12717.5502947,12198.7062246841,9448.74624967298,13562.6104798868,12196.4392674421,11895.4008155675,12778.1629841831,10082.7940329159,8275.512240752,12028.6226149318,-48.0495848847245
